"author_id","author_username","X_type","title","body","thread_type","commentable_id","comment_count","pinned","created_at","updated_at","anonymous","parent_ids","comment_thread_id","mongoid","level","finished"
7577470,"RachelRueckert1","CommentThread","Limited Government Discussion #2 (Section 3: Last names R-Z)","You can answer 1 of the following prompts:

1) In 2015, Congress enacted legislation that gives the National Security Agency (NSA) the authority to monitor (but not listen to or read) telephone and Internet traffic, looking for patterns that might suggest terrorist activity. If the NSA detects a suspicious pattern, it presents the evidence to a secret judicial court, which decides whether the NSA’s evidence is sufficient to justify granting it a search warrant. Only if such a warrant is granted can the NSA lawfully investigate the actual content of the messages.

Do you support or oppose the NSA program? In terms of limited government, what argument could be made in support of the program? What argument could be made in opposition to it?

or

2) If your goal was to strengthen America’s system of limited government—increasing its effectiveness in controlling abuses of power—what changes would you recommend?","discussion","foundations",225,"","2015-09-01 19:17:00","2016-01-20 19:46:00","False","","","55e5f9b09714b08e1a000e1f",1,0
7577470,"RachelRueckert1","CommentThread","Representative Government Discussion #1 (Section 2: Last names J-Q)","Contrast the original system for electing federal officials with the system of today, noting in each case whether voters have acquired a more direct voice in the election process than was originally the case. Then, compare the U.S. system of staggered and separate elections for House members, senators, and the president with a parliamentary system where all legislators are chosen in the same election. Which system provides voters greater influence over lawmakers?","discussion","foundations",188,"","2015-09-01 19:20:00","2015-10-05 18:12:00","False","","","55e5fa8d9714b0069b000e5a",1,0
7577470,"RachelRueckert1","CommentThread","Representative Government Discussion #1 (Section 1: Last names A-I)","Contrast the original system for electing federal officials with the system of today, noting in each case whether voters have acquired a more direct voice in the election process than was originally the case. Then, compare the U.S. system of staggered and separate elections for House members, senators, and the president with a parliamentary system where all legislators are chosen in the same election. Which system provides voters greater influence over lawmakers?","discussion","foundations",272,"","2015-09-01 19:20:00","2016-01-06 21:55:00","False","","","55e5fa6201772bc852000dac",1,0
7577470,"RachelRueckert1","CommentThread","Representative Government Discussion #1 (Section 3: Last names R-Z)","Contrast the original system for electing federal officials with the system of today, noting in each case whether voters have acquired a more direct voice in the election process than was originally the case. Then, compare the U.S. system of staggered and separate elections for House members, senators, and the president with a parliamentary system where all legislators are chosen in the same election. Which system provides voters greater influence over lawmakers?","discussion","foundations",156,"","2015-09-01 19:21:00","2016-01-09 12:42:00","False","","","55e5fab49714b0b433000de8",1,0
7577470,"RachelRueckert1","CommentThread","Representative Government Discussion #2 (Section 2: Last Names J-Q)","Why are voting rates in the United States lower than in Europe? Which demographic groups are most disadvantaged by U.S. voting laws? Why?
","discussion","course",187,"","2015-09-01 19:24:00","2016-01-06 20:20:00","False","","","55e5fb8701772be57d000de0",1,0
7577470,"RachelRueckert1","CommentThread","Representative Government Discussion #2 (Section 1: Last names A-I)","Why are voting rates in the United States lower than in Europe? Which demographic groups are most disadvantaged by U.S. voting laws? Why?","discussion","course",225,"","2015-09-01 19:24:00","2016-01-06 21:59:00","False","","","55e5fb5c9714b07ea7000db4",1,0
7577470,"RachelRueckert1","CommentThread","Federal Government Discussion #1 (Section 1: Last names A-I)","What role have federal grants-in-aid played in the expansion of federal authority? What is the justification for allowing Congress to determine how states and localities can use federal grants-in-aid?","discussion","foundations",237,"","2015-09-01 19:26:00","2016-01-06 22:01:00","False","","","55e5fbf89714b09e52000df6",1,0
7577470,"RachelRueckert1","CommentThread","Federal Government Discussion #1 (Section 2: Last names J-Q)","What role have federal grants-in-aid played in the expansion of federal authority? What is the justification for allowing Congress to determine how states and localities can use federal grants-in-aid?","discussion","foundations",188,"","2015-09-01 19:27:00","2016-01-06 20:04:00","False","","","55e5fc1a01772b01c2000e19",1,0
7577470,"RachelRueckert1","CommentThread","Federal Government Discussion #2 (Section 1: Last names A-I)","In *National Federation of Independent Business v. Sebelius* (2012), the justices on the Supreme Court were divided in their views on whether the Constitution’s taxing clause and commerce clause gave Congress the authority to impose an individual insurance mandate. What were the pro- and con-arguments in regard to each of these clauses? What decision would you have reached on each clause if you had been on the Supreme Court? Why?  
","discussion","foundations",192,"","2015-09-01 19:29:00","2016-01-06 20:29:00","False","","","55e5fc969714b01c9d000e1f",1,0
7577470,"RachelRueckert1","CommentThread","Civil Liberties Discussion #1 (Section 1: Last names A-I)","What is the process of selective incorporation, and why is it important to the rights Americans enjoy today?","discussion","foundations",210,"","2015-09-01 19:32:00","2016-01-06 22:03:00","False","","","55e5fd599714b0069b000e5f",1,0
7577470,"RachelRueckert1","CommentThread","Civil Liberties Discussion #1 (Section 2: Last names J-Q)","What is the process of selective incorporation, and why is it important to the rights Americans enjoy today?","discussion","foundations",164,"","2015-09-01 19:33:00","2016-01-05 22:41:00","False","","","55e5fd7c9714b08e1a000e29",1,0
2064644,"DaveDWA","Comment","","It would continue to be a free press. ","","",NA,"","2015-09-08 20:35:00","2015-09-08 20:35:00","False","","55e5f9b09714b08e1a000e1f","55ef468a01772b0cb000133a",2,0
8151936,"XavierSA","Comment","","Power will always exist, so, it is impossible that someone soon or later would be able to get the power no matter how many changes we suggest ","","",NA,"","2015-09-08 21:55:00","2015-09-08 21:55:00","False","","55e5f9b09714b08e1a000e1f","55ef594a9714b0c5bc00039e",2,0
8140406,"josephkings_89","Comment","","Free press. Why only that?","","",NA,"","2015-09-08 22:36:00","2015-09-08 22:36:00","False","55ef468a01772b0cb000133a","55e5f9b09714b08e1a000e1f","55ef630801772bf07a001402",3,0
7155098,"Saopaulo","Comment","","The basis of democracy and participation by growth,,,, power exists only when the control and interest of politicians, malicious,,,","","",NA,"","2015-09-08 22:37:00","2015-09-08 22:37:00","False","","55e5f9b09714b08e1a000e1f","55ef632e9714b0b43300138f",2,0
8140406,"josephkings_89","Comment","","Well that's a tricky question. The power of the USA, it's not to make itself limited. That will be the greatest paradox of what our modern laws have been saying. It can't be limited, that's why our government has more than 25 amendments. Not to be bound by limitless but absolute political power. The 1 amendment, I will bring it back to the table, the way it's originally meant. The people matter first, the government second. That's for starters.","","",NA,"","2015-09-08 22:46:00","2015-09-08 22:46:00","False","","55e5f9b09714b08e1a000e1f","55ef654d9714b058d9001333",2,0
7098468,"Auvusa","Comment","","Accountability.  There are so many extraneous interests linked to each politician that they forget that they are representing the best interest of the people.  Politics become a game of chess.","","",NA,"","2015-09-08 23:31:00","2015-09-08 23:31:00","False","55ef654d9714b058d9001333","55e5f9b09714b08e1a000e1f","55ef6fc201772b425e001455",3,0
